19.8	-107.69
7.051	-13.6486
4.98104	-14.1269
3.07025	-4.78559
2.28467	-1.99711
1.85649	-0.206451
1.6502	0.620627
1.54724	1.05471
1.49799	1.27237
1.47543	1.38472
1.46635	1.44326
1.46405	1.47485
1.46513	1.4928
1.46789	1.50388
1.47149	1.51148
1.47549	1.51731
1.47967	1.52223
1.48393	1.52668
1.4882	1.53088
1.49247	7.58493
2.10172	2.97863
2.18941	3.10226
2.28069	2.67821
2.32044	2.56496
2.3449	2.49076
2.35948	2.45972
2.36951	2.44569
2.37712	2.44115
2.38353	2.44118
2.38929	2.44352
2.39471	2.44701
2.39994	2.45106
2.40506	2.45537
2.41009	2.45979
2.41506	2.46425
2.41998	2.4687
2.42485	2.47314
2.42968	2.47756
2.43447	165.832
18.7742	41.3595
21.0327	44.5964
23.3891	33.0473
24.3549	29.891
24.9085	27.7898
25.1967	26.8548
25.3625	26.3799
25.4642	26.1621
25.534	26.0684
25.5874	26.0382
25.6325	26.0395
25.6732	26.0567
25.7116	26.0818
25.7486	26.1106
25.7848	-155.359
7.67043	-17.02
5.20138	-20.5802
2.62323	-7.71144
1.58976	-4.16828
1.01396	-1.79762
0.7328	-0.723118
0.587208	-0.160085
0.512479	0.117075
0.472938	0.255941
0.451239	0.324037
0.438518	0.356732
0.43034	0.371567
0.424463	0.377429
0.419759	0.378784
0.415662	0.377883
0.411884	0.375858
0.408281	0.373282
0.404781	0.37044
0.401347	0.367477
0.39796	0.364467
0.394611	0.361445
0.391294	0.358431
0.388008	0.355432
0.38475	0.352454
0.381521	0.349498
0.378318	0.346566
